Designator,Value,LibPart,Footprint,Datasheet,C,Color,Description,JCLC,JLCPCB,NAME,,
D19,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
D20,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
D21,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
D22,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
D23,19-217/GHC-YR1S2/3T,Device:LED,LED_SMD:LED_0603_1608Metric,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf,,GRN,,C72043,C72043,,,
J1,Conn_01x08,Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~,,,,,,,,
J2,Conn_01x08,Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~,,,,,,,,
J3,Conn_01x08,Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~,,,,,,,,
R2,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R6,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,,C11702,,,
R7,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R12,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R14,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,,C11702,,,
R16,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R17,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R18,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R19,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R20,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R21,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
R22,0402WGF1001TCE,Device:R_Small_US,Resistor_SMD:R_0402_1005Metric,https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,,,±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,C11702,C11702,,,
